strategy_registry_id,strategy_module_id,video_number,symbol,backtest_start_date,backtest_end_date,bt_total_trades,bt_winning_trades,bt_losing_trades,bt_win_rate,bt_profit_factor,bt_max_drawdown_pct,bt_total_pnl,bt_sharpe_ratio,bt_avg_rr,bt_avg_trade_duration_mins,composite_score,rank_within_strategy,backtest_result_json,backtested_at,data_quality_note
s001_vp_orderflow_absorption,vp_orderflow_absorption,1,AUDCHF,2023-12-03T00:00:00+00:00,2024-01-12T14:29:00+00:00,5,3,2,60.0,6.04,2.4,1211.08,1.24,2.17,8.0,0.0,5,/workspace/backtester-app/documents/backtester/results/s001_vp_orderflow_absorption/AUDCHF.json,2026-06-15T18:14:19.344096+00:00,
s001_vp_orderflow_absorption,vp_orderflow_absorption,1,AUDUSD,2023-12-03T00:00:00+00:00,2024-01-12T14:29:00+00:00,5,3,2,60.0,6.04,2.4,1211.08,1.24,2.17,8.0,0.0,6,/workspace/backtester-app/documents/backtester/results/s001_vp_orderflow_absorption/AUDUSD.json,2026-06-15T18:14:19.810538+00:00,
s001_vp_orderflow_absorption,vp_orderflow_absorption,1,BTCUSD,2023-12-03T00:00:00+00:00,2024-01-12T14:29:00+00:00,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,/workspace/backtester-app/documents/backtester/results/s001_vp_orderflow_absorption/BTCUSD.json,2026-06-15T18:14:20.338284+00:00,
s001_vp_orderflow_absorption,vp_orderflow_absorption,1,CADCHF,2023-12-03T00:00:00+00:00,2024-01-12T14:29:00+00:00,5,3,2,60.0,6.04,2.4,1211.08,1.24,2.17,8.0,0.0,8,/workspace/backtester-app/documents/backtester/results/s001_vp_orderflow_absorption/CADCHF.json,2026-06-15T18:14:20.809110+00:00,
s001_vp_orderflow_absorption,vp_orderflow_absorption,1,CADJPY,2023-12-03T00:00:00+00:00,2024-01-12T14:29:00+00:00,10,4,6,40.0,2.24,6.03,747.25,1.14,0.73,54.3,0.4254,2,/workspace/backtester-app/documents/backtester/results/s001_vp_orderflow_absorption/CADJPY.json,2026-06-15T18:14:21.056033+00:00,
s001_vp_orderflow_absorption,vp_orderflow_absorption,1,CHFJPY,2023-12-03T00:00:00+00:00,2024-01-12T14:29:00+00:00,10,4,6,40.0,2.22,6.11,745.5,1.13,0.73,54.3,0.4231,3,/workspace/backtester-app/documents/backtester/results/s001_vp_orderflow_absorption/CHFJPY.json,2026-06-15T18:14:21.290495+00:00,
s001_vp_orderflow_absorption,vp_orderflow_absorption,1,ETHUSD,2023-12-03T00:00:00+00:00,2024-01-12T14:29:00+00:00,4,0,4,0.0,0.0,28.97,-2896.55,-2.07,0.52,7.8,0.0,9,/workspace/backtester-app/documents/backtester/results/s001_vp_orderflow_absorption/ETHUSD.json,2026-06-15T18:14:21.757104+00:00,
s001_vp_orderflow_absorption,vp_orderflow_absorption,1,EURCHF,2023-12-03T00:00:00+00:00,2024-01-12T14:29:00+00:00,5,3,2,60.0,6.04,2.4,1211.08,1.24,2.17,8.0,0.0,10,/workspace/backtester-app/documents/backtester/results/s001_vp_orderflow_absorption/EURCHF.json,2026-06-15T18:14:22.219243+00:00,
s001_vp_orderflow_absorption,vp_orderflow_absorption,1,EURGBP,2023-12-03T00:00:00+00:00,2024-01-12T14:29:00+00:00,5,3,2,60.0,6.04,2.4,1211.08,1.24,2.17,8.0,0.0,11,/workspace/backtester-app/documents/backtester/results/s001_vp_orderflow_absorption/EURGBP.json,2026-06-15T18:14:22.681215+00:00,
s001_vp_orderflow_absorption,vp_orderflow_absorption,1,EURUSD,2023-12-03T00:00:00+00:00,2024-01-12T14:29:00+00:00,5,3,2,60.0,6.04,2.4,1211.08,1.24,2.17,8.0,0.0,12,/workspace/backtester-app/documents/backtester/results/s001_vp_orderflow_absorption/EURUSD.json,2026-06-15T18:14:23.147325+00:00,
s001_vp_orderflow_absorption,vp_orderflow_absorption,1,GBPAUD,2023-12-03T00:00:00+00:00,2024-01-12T14:29:00+00:00,5,3,2,60.0,6.04,2.4,1211.08,1.24,2.17,8.0,0.0,13,/workspace/backtester-app/documents/backtester/results/s001_vp_orderflow_absorption/GBPAUD.json,2026-06-15T18:14:23.623492+00:00,
s001_vp_orderflow_absorption,vp_orderflow_absorption,1,GBPCAD,2023-12-03T00:00:00+00:00,2024-01-12T14:29:00+00:00,5,3,2,60.0,6.04,2.4,1211.08,1.24,2.17,8.0,0.0,14,/workspace/backtester-app/documents/backtester/results/s001_vp_orderflow_absorption/GBPCAD.json,2026-06-15T18:14:24.083257+00:00,
s001_vp_orderflow_absorption,vp_orderflow_absorption,1,GBPCHF,2023-12-03T00:00:00+00:00,2024-01-12T14:29:00+00:00,5,3,2,60.0,6.04,2.4,1211.08,1.24,2.17,8.0,0.0,15,/workspace/backtester-app/documents/backtester/results/s001_vp_orderflow_absorption/GBPCHF.json,2026-06-15T18:14:24.543079+00:00,
s001_vp_orderflow_absorption,vp_orderflow_absorption,1,GBPJPY,2023-12-03T00:00:00+00:00,2024-01-12T14:29:00+00:00,10,4,6,40.0,2.21,6.11,736.58,1.12,0.73,54.3,0.4206,4,/workspace/backtester-app/documents/backtester/results/s001_vp_orderflow_absorption/GBPJPY.json,2026-06-15T18:14:24.777516+00:00,
s001_vp_orderflow_absorption,vp_orderflow_absorption,1,GBPNZD,2023-12-03T00:00:00+00:00,2024-01-12T14:29:00+00:00,5,3,2,60.0,6.04,2.4,1211.08,1.24,2.17,8.0,0.0,16,/workspace/backtester-app/documents/backtester/results/s001_vp_orderflow_absorption/GBPNZD.json,2026-06-15T18:14:25.243010+00:00,
s001_vp_orderflow_absorption,vp_orderflow_absorption,1,GBPUSD,2023-12-03T00:00:00+00:00,2024-01-12T14:29:00+00:00,5,3,2,60.0,6.04,2.4,1211.08,1.24,2.17,8.0,0.0,17,/workspace/backtester-app/documents/backtester/results/s001_vp_orderflow_absorption/GBPUSD.json,2026-06-15T18:14:25.704456+00:00,
s001_vp_orderflow_absorption,vp_orderflow_absorption,1,NZDJPY,2023-12-03T00:00:00+00:00,2024-01-12T14:29:00+00:00,4,2,2,50.0,1.79,2.38,189.5,0.54,0.52,7.8,0.0,18,/workspace/backtester-app/documents/backtester/results/s001_vp_orderflow_absorption/NZDJPY.json,2026-06-15T18:14:26.180865+00:00,
s001_vp_orderflow_absorption,vp_orderflow_absorption,1,NZDUSD,2023-12-03T00:00:00+00:00,2024-01-12T14:29:00+00:00,5,3,2,60.0,6.04,2.4,1211.08,1.24,2.17,8.0,0.0,19,/workspace/backtester-app/documents/backtester/results/s001_vp_orderflow_absorption/NZDUSD.json,2026-06-15T18:14:26.667376+00:00,
s001_vp_orderflow_absorption,vp_orderflow_absorption,1,USDCAD,2023-12-03T00:00:00+00:00,2024-01-12T14:29:00+00:00,5,3,2,60.0,6.04,2.4,1211.08,1.24,2.17,8.0,0.0,20,/workspace/backtester-app/documents/backtester/results/s001_vp_orderflow_absorption/USDCAD.json,2026-06-15T18:14:27.130149+00:00,
